excluded_path,excluded_source,excluded_label,matched_path,matched_source,hamming_dist
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (114).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (108).png,busi,8
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (119).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (116).png,busi,6
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (156).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (105).png,busi,0
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (157).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (139).png,busi,0
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (158).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (110).png,busi,6
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (16).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (151).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (18).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (152).png,busi,0
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (19).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (150).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (21).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (154).png,busi,8
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (246).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (221).png,busi,6
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (247).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (236).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (248).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (199).png,busi,4
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (249).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (204).png,busi,0
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (25).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (153).png,busi,4
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (250).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (227).png,busi,4
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (251).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (244).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (252).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (230).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (253).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (213).png,busi,4
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (254).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (211).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (255).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (240).png,busi,4
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (256).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (207).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (257).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (223).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (258).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (239).png,busi,0
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (259).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (229).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (260).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (214).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (261).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (234).png,busi,0
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (262).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (205).png,busi,4
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (263).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (226).png,busi,0
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (264).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (237).png,busi,6
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (265).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (216).png,busi,0
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (266).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (241).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (267).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (222).png,busi,0
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (268).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (217).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (270).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (215).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (271).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (220).png,busi,6
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (272).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (219).png,busi,4
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (273).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (203).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (274).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (200).png,busi,4
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (275).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (209).png,busi,4
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (276).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (232).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (277).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (240).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (278).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (226).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (279).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (241).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (280).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (229).png,busi,4
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (281).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (214).png,busi,4
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (282).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (204).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (285).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (284).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (287).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (232).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (288).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (242).png,busi,6
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (289).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (203).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (290).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (200).png,busi,4
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (291).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (208).png,busi,4
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (292).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (225).png,busi,0
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (293).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (225).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (294).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (235).png,busi,0
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (295).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (231).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (296).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (218).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (297).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (209).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (298).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (210).png,busi,0
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (299).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (233).png,busi,0
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (30).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (128).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (300).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (238).png,busi,2
/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (301).png,busi,benign,/kaggle/input/datasets/arittrodhrubo/breast-lesion-main-dataset/BUSI Dataset/BUSI Dataset/Dataset_BUSI_with_GT/benign/benign (202).png,busi,2
